record_id,title,year,first_author_lastname,_matched_block,openalex_concepts
OpenAlex:W7148407236,Traditional Chinese Medicine and Natural Products Targeting Right Ventricular Dysfunction in Pulmonary Arterial Hypertension: Toward Precision Cardiometabolic Therapy,2026,Wu,B2_tcm_interaction,"['Medicine' 'Maladaptation' 'Intensive care medicine'
 'Traditional Chinese medicine' 'Precision medicine'
 'Personalized medicine' 'Pulmonary hypertension' 'Ventricular function'
 'Disease' 'Cardiology' 'Medical therapy' 'Pulmonary medicine'
 'Internal medicine' 'Natural medicine' 'Heart failure' 'MEDLINE'
 'Therapeutic approach' 'Natural (archaeology)' 'Function (biology)']"
OpenAlex:W7134888581,"Traditional Chinese Medicine as an Integrative Adjunct in Oncology Perioperative Practice: Analgesia, Immune Modulation, and Translational Challenges",2026,Tang,B2_tcm_interaction,"['Medicine' 'Perioperative' 'Immune system' 'Clinical trial' 'Analgesic'
 'Chronic pain' 'Traditional Chinese medicine' 'Pain medicine'
 'Bioinformatics' 'Translational medicine' 'Intensive care medicine'
 'Pharmacology' 'Narrative review' 'Translational research'
 'Integrative medicine' 'Cannabinoid receptor' 'Neuroscience'
 'Clinical pharmacology' 'Inflammation' 'Acupuncture' 'Rimonabant']"
OpenAlex:W7123349355,Issue Information,2026,,B1_direct,"['Medicine' 'MEDLINE' 'Computer science' 'Information system'
 'Data science' 'Public health' 'Business' 'Political science'
 'Library science' 'Key (lock)']"
OpenAlex:W7128166984,Issue Information,2026,,B1_direct,"['Medicine' 'MEDLINE' 'Computer science' 'Information system'
 'Data science' 'Public health' 'Business' 'Political science'
 'Library science' 'Key (lock)']"
OpenAlex:W7160663739,Potential herb-drug interaction risk of Sedum sarmentosum Bunge extract and cyclosporine A,2026,Hou,B1_direct,"['Traditional medicine' 'Biology' 'Chemistry' 'Pharmacology' 'In vitro'
 'In vivo' 'Toxicity' 'Biological activity' 'Cell culture' 'Botany'
 'Crassulaceae']"
OpenAlex:W7128491125,"Unveiling the safety, tolerability, and herb-drug interaction concerns of Hibiscus Sabdariffa L. (Roselle): A systematic scoping review of current evidence",2026,Rosli,B1_direct,"['Medicine' 'Hibiscus sabdariffa' 'Pharmacovigilance' 'Adverse effect'
 'Traditional medicine' 'Safety profile' 'Pharmacology'
 'Alternative medicine' 'Clinical trial' 'Guideline'
 'Intervention (counseling)' 'Animal testing' 'Human studies'
 'Systematic review' 'Dosing' 'MEDLINE' 'Human health'
 'Intensive care medicine' 'Web of science' 'Animal studies'
 'Liver toxicity' 'Descriptive statistics' 'Medicinal plants'
 'Randomized controlled trial' 'Animal health' 'Meta-analysis'
 'Environmental health' 'Toxicology' 'Drug'
 'Consolidated Standards of Reporting Trials' 'Biotechnology'
 'Patient safety' 'Disease']"
OpenAlex:W7125955507,Author response to herb–drug interactions and safety management,2026,,B0_none,"['Medicine' 'Risk analysis (engineering)' 'Medical emergency'
 'Patient safety' 'MEDLINE' 'Engineering ethics' 'Intensive care medicine'
 'Management science' 'Nursing' 'Process management']"
OpenAlex:W7136092729,Traditional Chinese medicines as adjuvants in chemotherapy: pharmacological and clinical evidence,2026,Bairagee,B2_tcm_interaction,"['Medicine' 'Clinical trial' 'Intensive care medicine'
 'Alternative medicine' 'Chemotherapy' 'Oncology' 'Adverse effect'
 'Adjuvant' 'MEDLINE' 'Cancer' 'Multiple drug resistance'
 'Adjuvant chemotherapy' 'Clinical efficacy' 'Pharmacology'
 'Breast cancer' 'Internal medicine' 'Clinical research'
 'Traditional Chinese medicine' 'Traditional medicine' 'Clinical Practice'
 'Randomized controlled trial' 'Systematic review' 'Meta-analysis']"
OpenAlex:W7133951988,Clinical practice and evidence needs of clinical pharmacists regarding herb-drug interactions in China: a semi-structured in-depth interview study,2026,Shen,B1_direct,"['Clinical Practice' 'Clinical pharmacy' 'Medicine' 'Family medicine'
 'Pharmacy practice' 'Medical education' 'Alternative medicine' 'Nursing'
 'MEDLINE' 'Psychology']"
OpenAlex:W7160823371,"Interpretation and reflections on “technical specifications for dispensing commonly used Chinese patent medicines in clinical emergency and critical care, part 7: tablet” (T/CACM 1378.1-2022)",2026,Wang,B2_tcm_interaction,"['Medicine' 'Medical prescription' 'Economic shortage' 'Standardization'
 'Alternative medicine' 'Medical emergency' 'Chinese patent medicine'
 'Dosing' 'Traditional Chinese medicine' 'Quality (philosophy)' 'China'
 'Critical appraisal' 'Intervention (counseling)'
 'Intensive care medicine' 'Distribution (mathematics)'
 'Pharmaceutical manufacturing' 'Interpretation (philosophy)'
 'Medical journal' 'Workload' 'Principal (computer security)' 'Pharmacy'
 'Medical diagnosis']"
